Fecha_e,2016,2017,2018,2020,2021,2022,2023
01-January,57,63.0,74.0,91,52.0,47.0,42.0
02-January,57,114.0,112.0,128,80.0,91.0,109.0
03-January,66,98.0,128.0,119,95.0,86.0,91.0
04-January,116,136.0,153.0,115,91.0,115.0,105.0
05-January,87,116.0,112.0,103,70.0,103.0,93.0
06-January,66,73.0,92.0,73,74.0,66.0,82.0
07-January,108,82.0,86.0,124,84.0,75.0,78.0
08-January,98,103.0,117.0,120,33.0,97.0,107.0
09-January,82,151.0,106.0,141,0.0,116.0,117.0
10-January,86,135.0,118.0,129,35.0,99.0,142.0
11-January,120,153.0,148.0,99,292.0,94.0,106.0
12-January,113,159.0,144.0,112,254.0,82.0,122.0
13-January,153,135.0,121.0,126,155.0,104.0,104.0
14-January,122,77.0,106.0,120,71.0,96.0,69.0
15-January,121,109.0,133.0,133,40.0,84.0,113.0
16-January,77,160.0,156.0,135,53.0,86.0,140.0
17-January,91,177.0,136.0,126,62.0,101.0,97.0
18-January,132,161.0,153.0,111,71.0,72.0,110.0
19-January,134,135.0,139.0,86,86.0,97.0,133.0
20-January,127,130.0,117.0,136,90.0,104.0,121.0
21-January,108,91.0,109.0,126,114.0,133.0,97.0
22-January,103,93.0,131.0,128,98.0,106.0,104.0
23-January,91,137.0,136.0,186,69.0,107.0,98.0
24-January,120,136.0,117.0,131,114.0,113.0,100.0
25-January,117,126.0,125.0,98,108.0,72.0,120.0
26-January,120,157.0,128.0,119,113.0,115.0,113.0
27-January,123,111.0,117.0,143,92.0,136.0,110.0
28-January,112,83.0,114.0,116,133.0,117.0,92.0
29-January,128,106.0,155.0,116,101.0,82.0,100.0
30-January,70,189.0,128.0,102,75.0,82.0,144.0
31-January,113,114.0,141.0,117,92.0,139.0,127.0
01-February,143,163.0,132.0,103,118.0,109.0,125.0
02-February,121,133.0,130.0,125,80.0,89.0,130.0
03-February,118,180.0,98.0,136,91.0,114.0,85.0
04-February,125,135.0,109.0,123,94.0,128.0,91.0
05-February,108,113.0,109.0,117,106.0,107.0,107.0
06-February,98,187.0,112.0,130,95.0,100.0,120.0
07-February,90,175.0,122.0,114,130.0,139.0,114.0
08-February,104,152.0,142.0,92,107.0,104.0,91.0
09-February,94,163.0,136.0,116,78.0,123.0,128.0
10-February,128,153.0,112.0,125,113.0,99.0,97.0
11-February,117,99.0,128.0,134,120.0,91.0,90.0
12-February,120,126.0,142.0,128,113.0,101.0,88.0
13-February,76,149.0,111.0,128,102.0,85.0,96.0
14-February,91,129.0,123.0,100,124.0,121.0,95.0
15-February,124,140.0,141.0,123,127.0,97.0,104.0
16-February,104,166.0,123.0,132,113.0,115.0,110.0
17-February,99,143.0,108.0,119,110.0,111.0,122.0
