Colón;Plaza Jardines del Descubrimiento, s/n (Plaza Colón);Plaza Jardines del Descubrimiento, s/n (Plaza Colón);24 h. Todos los días.;24 h Every day;24 h. Todos los días.;24 h Every day;14, 21, 27, 45, 53, 150;14, 21, 27, 45, 53, 150;Serrano (L4);Serrano (L4);Recoletos;Recoletos
Nuestra Señora Recuerdo;C/ Hiedra, 26;C/ Hiedra, 26;Laborables de lunes a viernes: > 07:15-22:00 h. Resto horarios: Colón.;Working days (Monday to Friday): 07:15-22:00. Other times: Colón;24 h. Todos los días. ;24 h Every day;14, 70, 129, 174;14, 70, 129, 174;Chamartín (L1-L10), Bambú (L1);Chamartín (L1-L10), Bambú (L1);Chamartín;Chamartín
Paseo Imperial;C/ Santa María la Real de Nieva, s/n;C/ Santa María la Real de Nieva, s/n;Laborables de lunes a viernes: > 07:15-22:00 h. Resto horarios: Colón.;Working days (Monday to Friday): 07:15-22:00. Other times: Colón;24 h. Todos los días. Fuera del horario de caja, hay que tramitar la GESTIÓN DE RETIRADA previamente en Colón.;24 h Every day. When the counter is closed the release of the vehicle must first be arranged in Colón;17, 36, 41, 62;17, 36, 41, 62;Puerta de Toledo (L5);Puerta de Toledo (L5);Pirámides;Pirámides
Escuadrón;Antigua Carretera de El Pardo, km. 3,5 (junto Puente de los Franceses);Antigua Carretera de El Pardo, km. 3,5 (beside Puente de los Franceses);De lunes a domingo: > 07:15-22:00 h.;Monday to Sunday: 07:15-22:00;24 h. Todos los días. ;24 h Every day;46, 160, 161;46, 160, 161;Ninguna estación cercana;No nearby station;Ninguna estación cercana;No nearby station
Velázquez;C/ Velázquez, 87;C/ Velázquez, 87;Atención en Colón.;Customer Service at Colón;24 h. Todos los días. Atención en Colón.;24 h Every day. Customer Service at Colón;9, 19, 51, 61;9, 19, 51, 61;Nuñez de Balboa (L5-L9);Nuñez de Balboa (L5-L9);Ninguna estación cercana;No nearby station
Barajas;Camino del Cuartel, 6. (junto aparcamiento empleados P-5);Camino del cuartel, 6 (beside the employees' car park P-5);Cerrada temporalmente.;Temporarily closed;Cerrada temporalmente.;Temporarily closed;101, 112, 200;101, 112, 200;Aeropuerto (L8);Aeropuerto (L8);Ninguna estación cercana;No nearby station
Vicálvaro;Av. del Parque, s/n, esquina c/ Forjas;Av. del Parque, s/n, esquina c/ Forjas;Laborables de lunes a viernes: > 07:15-22:00 h.;Working days (Monday to Friday): 07:15-22:00;24 h. Todos los días. ;24 h Every day;T23 (4, 71, 100, 106, E3 + T23);T23 (4, 71, 100, 106, E3 + T23);Puerta de Arganda (L9) + EMT T23;Puerta de Arganda (L9) + EMT T23;C2-C7. Vicálvaro + EMT T23;C2-C7. Vicálvaro + EMT T23
Mediodía II;Camino de la China, s/n;Camino de la China, s/n;Atención en Mediodía III;Customer service at Mediodía III;24 h. Todos los días. Fuera del horario de caja, hay que tramitar la GESTIÓN DE RETIRADA previamente en Colón.;24 h Every day. When the counter is closed the release of the vehicle must first be arranged in Colón.;Ninguna parada cercana;No nearby bus stop;Ninguna estación cercana;No nearby station;Ninguna estación cercana;No nearby station
Mediodía III;Camino de la China, s/n;Camino de la China, s/n;Laborables de lunes a viernes: > 07:15-22:00 h. Resto horarios: Colón.;Working days (Monday to Friday): 07:15-22:00. Other times: Colón;24 h. Todos los días. Fuera del horario de caja, hay que tramitar la GESTIÓN DE RETIRADA previamente en Colón.;24 h Every day. When the counter is closed the release of the vehicle must first be arranged in Colón.;Ninguna parada cercana;No nearby bus stop;Ninguna estación cercana;No nearby station;Ninguna estación cercana;No nearby station
Barceló;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base
Orense;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base
Centro;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base
Hortaleza;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base
Medio Ambiente;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base
EMT;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base
Comisaría;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base
Calle;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base;Depósito no operativo;No operational base
