iter	Logloss
0	0.6198519741
1	0.5597968486
2	0.509572879
3	0.4666416322
4	0.4319044045
5	0.4006254338
6	0.3740126599
7	0.3517551032
8	0.3308091454
9	0.3129438852
10	0.2977104105
11	0.2842777371
12	0.2725062141
13	0.2627631168
14	0.2535737358
15	0.2453060581
16	0.2383787114
17	0.2319851769
18	0.2265116176
19	0.2211305425
20	0.2171658046
21	0.2133687439
22	0.2099329048
23	0.2066984548
24	0.2040473788
25	0.2018007308
26	0.1995700452
27	0.1974791845
28	0.1955175022
29	0.1941270252
30	0.1923562768
31	0.1909476033
32	0.1896133226
33	0.1883225925
34	0.1871974668
35	0.1862061127
36	0.1855178724
37	0.1846736742
38	0.183988102
39	0.1832677544
40	0.1827468154
41	0.1819235018
42	0.1811630941
43	0.1806985919
44	0.1802845164
45	0.1798835167
46	0.1796878066
47	0.1793166664
48	0.1790927544
49	0.1788473438
50	0.1783002268
51	0.1780776031
52	0.1779379158
53	0.1774335635
54	0.1772527377
55	0.1771730272
56	0.1769384735
57	0.1766612498
58	0.1764431152
59	0.1760779372
60	0.1759852229
61	0.1755364009
62	0.175479864
63	0.1753955464
64	0.1753038211
65	0.1751359867
66	0.1750720316
67	0.1749870534
68	0.1748108363
69	0.1747070291
70	0.1746408189
71	0.1745491122
72	0.1744184995
73	0.1743312086
74	0.1740800833
75	0.1739985015
76	0.1738114897
77	0.1737524922
78	0.1737066145
79	0.1733666406
80	0.1732258917
81	0.1731630796
82	0.1729657149
83	0.1729100666
84	0.1728799597
85	0.1728554383
86	0.1728445599
87	0.1727097352
88	0.1726312776
89	0.1726271529
90	0.1725273914
91	0.1724547714
92	0.1724325275
93	0.1724186623
94	0.1721577561
95	0.1719852616
96	0.1718523694
97	0.1717614401
98	0.1716287357
99	0.1715081329
