iter	Passed	Remaining
0	4	477
1	8	399
2	11	386
3	16	402
4	21	406
5	25	393
6	28	377
7	31	366
8	35	353
9	38	343
10	42	345
11	46	339
12	49	333
13	53	326
14	57	323
15	65	341
16	69	337
17	72	330
18	75	323
19	80	320
20	83	315
21	87	309
22	90	303
23	94	300
24	99	297
25	102	292
26	108	294
27	112	289
28	116	284
29	120	280
30	123	275
31	127	270
32	131	266
33	134	262
34	138	256
35	141	251
36	145	248
37	150	245
38	156	245
39	160	240
40	163	235
41	167	230
42	171	226
43	175	223
44	178	218
45	182	214
46	185	209
47	189	205
48	194	202
49	199	199
50	203	195
51	206	190
52	210	187
53	214	183
54	218	178
55	221	174
56	225	169
57	229	166
58	233	162
59	237	158
60	240	153
61	244	149
62	247	145
63	253	142
64	258	139
65	261	134
66	264	130
67	268	126
68	273	122
69	276	118
70	279	114
71	283	110
72	286	106
73	290	101
74	295	98
75	299	94
76	303	90
77	306	86
78	309	82
79	313	78
80	316	74
81	319	70
82	324	66
83	327	62
84	330	58
85	334	54
86	338	50
87	343	46
88	346	42
89	348	38
90	352	34
91	355	30
92	358	26
93	362	23
94	366	19
95	369	15
96	372	11
97	375	7
98	381	3
99	386	0
